 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: on
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
 * Restarting with stat
 * Debugger is active!
[2019-03-28 09:45:00,649] INFO in functions: Namespace nightwatch, graylog-6454fd586b-nzftv
[2019-03-28 09:45:00,649] INFO in functions: Namespace nightwatch, kibana-8574f9846d-986db
[2019-03-28 09:45:00,649] INFO in functions: Namespace nightwatch, mailhog-5447ff88c8-x4gk4
[2019-03-28 09:45:00,649] INFO in functions: Namespace nightwatch, mongoadmin-5dbf47c869-r28lq
[2019-03-28 09:45:00,649] INFO in functions: Namespace nightwatch, mongodb-5b86b74588-hqs52
[2019-03-28 09:45:00,649] INFO in functions: Namespace nightwatch, mysql-866f456fd9-9fb9t
[2019-03-28 09:45:00,650] INFO in functions: Namespace nightwatch, phpmyadmin-78779dd5fd-lwsmg
[2019-03-28 09:45:00,650] INFO in functions: Namespace nightwatch, rabbitmq-56569bc677-trk8g
[2019-03-28 09:45:00,650] INFO in functions: Namespace nightwatch, swift-0
[2019-03-28 09:45:00,650] INFO in functions: Namespace nightwatch, swift-sparrow-5d7d5f8d96-4hnqq
[2019-03-28 09:45:00,650] INFO in functions: Namespace nightwatch, ysis-admin-7b6ff8fc6-7vhxg
[2019-03-28 09:45:00,650] INFO in functions: Namespace nightwatch, ysis-analytics-6b5d889b55-l5b6d
[2019-03-28 09:45:00,650] INFO in functions: Namespace nightwatch, ysis-axon-monitor-bddd4bc8b-5mdwx
[2019-03-28 09:45:00,650] INFO in functions: Namespace nightwatch, ysis-core-85667f44d9-j6c57
[2019-03-28 09:45:00,651] INFO in functions: Namespace nightwatch, ysis-data-generator-1553545800-8bxls
[2019-03-28 09:45:00,651] INFO in functions: Namespace nightwatch, ysis-data-generator-1553632200-ngtzw
[2019-03-28 09:45:00,651] INFO in functions: Namespace nightwatch, ysis-data-generator-1553718600-9w7q4
[2019-03-28 09:45:00,651] INFO in functions: Namespace nightwatch, ysis-financial-elv-5959665c64-rf5rs
[2019-03-28 09:45:00,651] INFO in functions: Namespace nightwatch, ysis-financial-elz-79bd79c479-qxjsg
[2019-03-28 09:45:00,651] INFO in functions: Namespace nightwatch, ysis-financial-gbg-77b686dd5-g86vk
[2019-03-28 09:45:00,651] INFO in functions: Namespace nightwatch, ysis-financial-grz-76495c55b8-hl9v5
[2019-03-28 09:45:00,651] INFO in functions: Namespace nightwatch, ysis-financial-ha-dfbf5d4df-gh5s7
[2019-03-28 09:45:00,651] INFO in functions: Namespace nightwatch, ysis-financial-mock-5cd9b99c9f-rc5wx
[2019-03-28 09:45:00,652] INFO in functions: Namespace nightwatch, ysis-mobile-api-666d88c78d-6v5nf
[2019-03-28 09:45:00,652] INFO in functions: Namespace nightwatch, ysis-thumbnailgenerator-7474b9bdfb-dhm6z
[2019-03-28 09:45:00,652] INFO in functions: CHECKING NAMESPACE nightwatch-test-results
[2019-03-28 09:45:00,704] INFO in functions: Namespace nightwatch-test-results, nightwatch-swift-749d86dcc7-q78gf
[2019-03-28 09:45:00,704] INFO in functions: Namespace nightwatch-test-results, nightwatch-test-results-69445dd746-755p8
[2019-03-28 09:45:00,704] INFO in functions: CHECKING NAMESPACE rook-nvme1
[2019-03-28 09:45:00,812] INFO in functions: Namespace rook-nvme1, rook-ceph-mgr-a-dfcdb4cb7-jntng
[2019-03-28 09:45:00,812] INFO in functions: Namespace rook-nvme1, rook-ceph-mon21-7d6b4cc8dc-6jp2b
[2019-03-28 09:45:00,812] INFO in functions: Namespace rook-nvme1, rook-ceph-mon24-78d85c97df-ln7wm
[2019-03-28 09:45:00,812] INFO in functions: Namespace rook-nvme1, rook-ceph-mon32-7fb584fcb8-4h6v2
[2019-03-28 09:45:00,813] INFO in functions: Namespace rook-nvme1, rook-ceph-osd-0-66974947bd-pmd4m
[2019-03-28 09:45:00,813] INFO in functions: Namespace rook-nvme1, rook-ceph-osd-1-7d498ffcc6-wz2vv
[2019-03-28 09:45:00,813] INFO in functions: Namespace rook-nvme1, rook-ceph-osd-2-5595c47f87-442gh
[2019-03-28 09:45:00,813] INFO in functions: Namespace rook-nvme1, rook-ceph-osd-3-56b4d97655-kfbd5
[2019-03-28 09:45:00,813] INFO in functions: Namespace rook-nvme1, rook-ceph-osd-prepare-10.91.38.210-gtk94
[2019-03-28 09:45:00,813] INFO in functions: Namespace rook-nvme1, rook-ceph-osd-prepare-10.91.38.211-qqfdg
[2019-03-28 09:45:00,813] INFO in functions: Namespace rook-nvme1, rook-ceph-osd-prepare-10.91.39.210-rbtfq
[2019-03-28 09:45:00,813] INFO in functions: Namespace rook-nvme1, rook-ceph-osd-prepare-10.91.39.211-2wp5g
[2019-03-28 09:45:00,814] INFO in functions: Namespace rook-nvme1, rook-ceph-tools-cb5655595-8n9t9
[2019-03-28 09:45:00,814] INFO in functions: CHECKING NAMESPACE rook-system
[2019-03-28 09:45:00,911] INFO in functions: Namespace rook-system, rook-ceph-agent-9v5gz
[2019-03-28 09:45:00,911] INFO in functions: Namespace rook-system, rook-ceph-agent-jz56m
[2019-03-28 09:45:00,911] INFO in functions: Namespace rook-system, rook-ceph-agent-qtrtd
[2019-03-28 09:45:00,912] INFO in functions: Namespace rook-system, rook-ceph-agent-r9cgj
[2019-03-28 09:45:00,912] INFO in functions: Namespace rook-system, rook-ceph-operator-856fbffdcf-w4bb5
[2019-03-28 09:45:00,912] INFO in functions: Namespace rook-system, rook-discover-2jfh8
[2019-03-28 09:45:00,912] INFO in functions: Namespace rook-system, rook-discover-57jg8
[2019-03-28 09:45:00,912] INFO in functions: Namespace rook-system, rook-discover-vbrdt
[2019-03-28 09:45:00,912] INFO in functions: Namespace rook-system, rook-discover-wsmk6
[2019-03-28 09:45:00,912] INFO in functions: CHECKING NAMESPACE rook-test
[2019-03-28 09:45:00,958] INFO in functions: CHECKING NAMESPACE selenium
[2019-03-28 09:45:01,013] INFO in functions: Namespace selenium, selenium-hub-6d9c7d86ff-f5xnf
[2019-03-28 09:45:01,013] INFO in functions: Namespace selenium, selenium-node-chrome-85f59b97cc-t49f2
[2019-03-28 09:45:01,013] INFO in functions: CHECKING NAMESPACE sonarqube
[2019-03-28 09:45:01,066] INFO in functions: Namespace sonarqube, sonarqube-6c648c5d57-mqxz2
[2019-03-28 09:45:01,066] INFO in functions: Namespace sonarqube, sonarqube-mysql-77b7dfc7c5-ltsn2
[2019-03-28 09:45:01,066] INFO in functions: CHECKING NAMESPACE stash-test
[2019-03-28 09:45:01,116] INFO in functions: Namespace stash-test, ubuntu-server-9bbd88556-mrxsr
[2019-03-28 09:45:01,117] INFO in functions: CHECKING NAMESPACE stashtest
[2019-03-28 09:45:01,177] INFO in functions: Namespace stashtest, stash-demo-54c848c666-579km
[2019-03-28 09:45:01,177] INFO in functions: Namespace stashtest, stash-demo-54c848c666-dkpg9
[2019-03-28 09:45:01,177] INFO in functions: Namespace stashtest, ubuntu-stash-0
[2019-03-28 09:45:01,177] INFO in functions: CHECKING NAMESPACE support-tools
[2019-03-28 09:45:01,223] INFO in functions: CHECKING NAMESPACE test
[2019-03-28 09:45:01,375] INFO in functions: Namespace test, elasticsearch-8997ddc84-xlwdf
[2019-03-28 09:45:01,376] INFO in functions: Namespace test, graylog-578f96c64d-cpn5z
[2019-03-28 09:45:01,376] INFO in functions: Namespace test, integration-qic-0
[2019-03-28 09:45:01,376] INFO in functions: Namespace test, kibana-b7c9579cc-wcqbg
[2019-03-28 09:45:01,376] INFO in functions: Namespace test, mailhog-6d6fdb4bc-jtwqd
[2019-03-28 09:45:01,376] INFO in functions: Namespace test, mongoadmin-7fd6b789c4-55q2t
[2019-03-28 09:45:01,376] INFO in functions: Namespace test, mongodb-68766c486-hwjs4
[2019-03-28 09:45:01,376] INFO in functions: Namespace test, mysql-648dc75b59-ck625
[2019-03-28 09:45:01,376] INFO in functions: Namespace test, nginx-testserver-567c78c77-zwhcx
[2019-03-28 09:45:01,377] INFO in functions: Namespace test, phpmyadmin-5d6959bb77-gck8n
[2019-03-28 09:45:01,377] INFO in functions: Namespace test, rabbitmq-5845d85745-njp8l
[2019-03-28 09:45:01,377] INFO in functions: Namespace test, swift-0
[2019-03-28 09:45:01,377] INFO in functions: Namespace test, swift-sparrow-65c94b9d75-8gtj4
[2019-03-28 09:45:01,377] INFO in functions: Namespace test, ubuntu-server-7c65ffb4c9-fk96s
[2019-03-28 09:45:01,377] INFO in functions: Namespace test, ws-mr-query-treatmentrelationships-7d8db9465c-tmxrs
[2019-03-28 09:45:01,377] INFO in functions: Namespace test, ws-vecozo-vsp-edp-65988d6f76-9jvws
[2019-03-28 09:45:01,377] INFO in functions: Namespace test, ws-vecozo-vsp-edp-65988d6f76-vn6pn
[2019-03-28 09:45:01,378] INFO in functions: Namespace test, yris-random-forest-5798bc8b6f-l2bcj
[2019-03-28 09:45:01,378] INFO in functions: Namespace test, yris-random-forest-5798bc8b6f-nbjpx
[2019-03-28 09:45:01,378] INFO in functions: Namespace test, yris-random-forest-5798bc8b6f-pnvvz
[2019-03-28 09:45:01,378] INFO in functions: Namespace test, yris-web-947b594fc-rg476
[2019-03-28 09:45:01,378] INFO in functions: Namespace test, ysis-accounting-797f8c9576-9c6mn
[2019-03-28 09:45:01,378] INFO in functions: Namespace test, ysis-admin-7465df8fd8-jgd6q
[2019-03-28 09:45:01,378] INFO in functions: Namespace test, ysis-analytics-58fdbb9c85-6t47x
[2019-03-28 09:45:01,378] INFO in functions: Namespace test, ysis-axon-monitor-6d884f7cfd-q82kx
[2019-03-28 09:45:01,378] INFO in functions: Namespace test, ysis-core-b6dfd9ddb-4t6fk
